Stat Type,Year,Figure,Trend,,
1. Number of Fire Calls,2003,1068,1193,,
1. Number of Fire Calls,2004,1316,1289,,
1. Number of Fire Calls,2005,1216,1386,,
1. Number of Fire Calls,2006,1450,1483,,
1. Number of Fire Calls,2007,1445,1580,,
1. Number of Fire Calls,2008,1635,1677,,
1. Number of Fire Calls,2009,1603,1774,,
1. Number of Fire Calls,2010,1347,1871,,
1. Number of Fire Calls,2011,2127,1968,,
1. Number of Fire Calls,2012,2649,2065,,
1. Number of Fire Calls,2013,2624,2162,,
1. Number of Fire Calls,2014,2256,2259,,
1. Number of Fire Calls,2015,2486,2356,,
1. Number of Fire Calls,2016,3068,2452,,
1. Number of Fire Calls,2017,2830,2549,,
1. Number of Fire Calls,2018,2846,2646,,
1. Number of Fire Calls,2019,3134,2743,,
1. Number of Fire Calls,2020,2317,2840,,
1. Number of Fire Calls,2021,1696,2937,,
1. Number of Fire Calls,2022,2175,3034,,
1. Number of Fire Calls,2023,4108,3131,,
2. Number of Non-Fire Emergencies,2003,1199,1314,,
2. Number of Non-Fire Emergencies,2004,1500,1506,,
2. Number of Non-Fire Emergencies,2005,1692,1699,,
2. Number of Non-Fire Emergencies,2006,1531,1891,,
2. Number of Non-Fire Emergencies,2007,1850,2084,,
2. Number of Non-Fire Emergencies,2008,2154,2276,,
2. Number of Non-Fire Emergencies,2009,2477,2469,,
2. Number of Non-Fire Emergencies,2010,2474,2661,,
2. Number of Non-Fire Emergencies,2011,2760,2854,,
2. Number of Non-Fire Emergencies,2012,2880,3046,,
2. Number of Non-Fire Emergencies,2013,3717,3239,,
2. Number of Non-Fire Emergencies,2014,4413,3431,,
2. Number of Non-Fire Emergencies,2015,3732,3623,,
2. Number of Non-Fire Emergencies,2016,3585,3816,,
2. Number of Non-Fire Emergencies,2017,4470,4008,,
2. Number of Non-Fire Emergencies,2018,4701,4201,,
2. Number of Non-Fire Emergencies,2019,5714,4393,,
2. Number of Non-Fire Emergencies,2020,3839,4586,,
2. Number of Non-Fire Emergencies,2021,4488,4778,,
2. Number of Non-Fire Emergencies,2022,3865,4971,,
2. Number of Non-Fire Emergencies,2023,4968,5163,,
3(a). Number of Human Lives Lost due to Fire,2003,12,5,,
3(a). Number of Human Lives Lost due to Fire,2004,1,5,,
3(a). Number of Human Lives Lost due to Fire,2005,8,5,,
3(a). Number of Human Lives Lost due to Fire,2006,5,5,,
3(a). Number of Human Lives Lost due to Fire,2007,4,5,,
3(a). Number of Human Lives Lost due to Fire,2008,6,4,,
3(a). Number of Human Lives Lost due to Fire,2009,0,4,,
3(a). Number of Human Lives Lost due to Fire,2010,3,4,,
3(a). Number of Human Lives Lost due to Fire,2011,3,4,,
3(a). Number of Human Lives Lost due to Fire,2012,3,4,,
3(a). Number of Human Lives Lost due to Fire,2013,1,3,,
3(a). Number of Human Lives Lost due to Fire,2014,3,3,,
3(a). Number of Human Lives Lost due to Fire,2015,3,3,,
3(a). Number of Human Lives Lost due to Fire,2016,2,3,,
3(a). Number of Human Lives Lost due to Fire,2017,4,3,,
3(a). Number of Human Lives Lost due to Fire,2018,0,2,,
3(a). Number of Human Lives Lost due to Fire,2019,0,2,,
3(a). Number of Human Lives Lost due to Fire,2020,0,2,,
3(a). Number of Human Lives Lost due to Fire,2021,1,2,,
3(a). Number of Human Lives Lost due to Fire,2022,4,2,,
3(a). Number of Human Lives Lost due to Fire,2023,8,1,,
3(b). Number of Animal Lives Lost due to Fire,2003,5,21,,17
3(b). Number of Animal Lives Lost due to Fire,2004,82,20,,16.19437229
3(b). Number of Animal Lives Lost due to Fire,2005,4,19,,15.14632035
3(b). Number of Animal Lives Lost due to Fire,2006,7,18,,14.0982684
3(b). Number of Animal Lives Lost due to Fire,2007,1,17,,13.05021645
3(b). Number of Animal Lives Lost due to Fire,2008,1,16,,12.0021645
3(b). Number of Animal Lives Lost due to Fire,2009,0,15,,10.95411255
3(b). Number of Animal Lives Lost due to Fire,2010,6,14,,9.906060606
3(b). Number of Animal Lives Lost due to Fire,2011,10,13,,8.858008658
3(b). Number of Animal Lives Lost due to Fire,2012,1,12,,7.80995671
3(b). Number of Animal Lives Lost due to Fire,2013,2,11,,6.761904762
3(b). Number of Animal Lives Lost due to Fire,2014,0,10,,5.713852814
3(b). Number of Animal Lives Lost due to Fire,2015,10,9,,4.665800866
3(b). Number of Animal Lives Lost due to Fire,2016,1,8,,3.617748918
3(b). Number of Animal Lives Lost due to Fire,2017,2,7,,2.56969697
3(b). Number of Animal Lives Lost due to Fire,2018,2,6,,1.521645022
3(b). Number of Animal Lives Lost due to Fire,2019,2,4,,0.4735930736
3(b). Number of Animal Lives Lost due to Fire,2020,0,3,,-0.5744588745
3(b). Number of Animal Lives Lost due to Fire,2021,0,2,,-1.622510823
3(b). Number of Animal Lives Lost due to Fire,2022,1,1,,-2.670562771
3(b). Number of Animal Lives Lost due to Fire,2023,5,0,,-3.718614719
3(c). Number of Human Lives Lost due to other Accidents,2003,103,112,,0
3(c). Number of Human Lives Lost due to other Accidents,2004,91,113,,
3(c). Number of Human Lives Lost due to other Accidents,2005,108,113,,
3(c). Number of Human Lives Lost due to other Accidents,2006,129,113,,
3(c). Number of Human Lives Lost due to other Accidents,2007,97,113,,
3(c). Number of Human Lives Lost due to other Accidents,2008,158,114,,
3(c). Number of Human Lives Lost due to other Accidents,2009,105,114,,
3(c). Number of Human Lives Lost due to other Accidents,2010,153,114,,
3(c). Number of Human Lives Lost due to other Accidents,2011,115,114,,
3(c). Number of Human Lives Lost due to other Accidents,2012,80,114,,
3(c). Number of Human Lives Lost due to other Accidents,2013,126,115,,
3(c). Number of Human Lives Lost due to other Accidents,2014,126,115,,
3(c). Number of Human Lives Lost due to other Accidents,2015,109,115,,
3(c). Number of Human Lives Lost due to other Accidents,2016,114,115,,
3(c). Number of Human Lives Lost due to other Accidents,2017,128,116,,
3(c). Number of Human Lives Lost due to other Accidents,2018,82,116,,
3(c). Number of Human Lives Lost due to other Accidents,2019,96,116,,
3(c). Number of Human Lives Lost due to other Accidents,2020,122,116,,
3(c). Number of Human Lives Lost due to other Accidents,2021,104,117,,
3(c). Number of Human Lives Lost due to other Accidents,2022,140,117,,
3(c). Number of Human Lives Lost due to other Accidents,2023,123,117,,
3(d). Number of Animal Lives Lost due to other Accidents,2003,6,11,,
3(d). Number of Animal Lives Lost due to other Accidents,2004,10,13,,
3(d). Number of Animal Lives Lost due to other Accidents,2005,43,15,,
3(d). Number of Animal Lives Lost due to other Accidents,2006,6,17,,
3(d). Number of Animal Lives Lost due to other Accidents,2007,9,19,,
3(d). Number of Animal Lives Lost due to other Accidents,2008,17,22,,
3(d). Number of Animal Lives Lost due to other Accidents,2009,14,24,,
3(d). Number of Animal Lives Lost due to other Accidents,2010,22,26,,
3(d). Number of Animal Lives Lost due to other Accidents,2011,45,28,,
3(d). Number of Animal Lives Lost due to other Accidents,2012,28,30,,
3(d). Number of Animal Lives Lost due to other Accidents,2013,40,32,,
3(d). Number of Animal Lives Lost due to other Accidents,2014,34,34,,
3(d). Number of Animal Lives Lost due to other Accidents,2015,37,36,,
3(d). Number of Animal Lives Lost due to other Accidents,2016,45,38,,
3(d). Number of Animal Lives Lost due to other Accidents,2017,50,40,,
3(d). Number of Animal Lives Lost due to other Accidents,2018,36,42,,
3(d). Number of Animal Lives Lost due to other Accidents,2019,35,44,,
3(d). Number of Animal Lives Lost due to other Accidents,2020,35,47,,
3(d). Number of Animal Lives Lost due to other Accidents,2021,53,49,,
3(d). Number of Animal Lives Lost due to other Accidents,2022,44,51,,
3(d). Number of Animal Lives Lost due to other Accidents,2023,62,53,,
4(a). Number of Human Lives injured due to Fire,2003,13,12,,
4(a). Number of Human Lives injured due to Fire,2004,10,12,,
4(a). Number of Human Lives injured due to Fire,2005,7,11,,
4(a). Number of Human Lives injured due to Fire,2006,10,11,,
