Stat Type,Year,Figure,Trend,,
1. Number of Fire Calls,2003,1068,1272,,
1. Number of Fire Calls,2004,1316,1357,,
1. Number of Fire Calls,2005,1216,1442,,
1. Number of Fire Calls,2006,1450,1527,,
1. Number of Fire Calls,2007,1445,1613,,
1. Number of Fire Calls,2008,1635,1698,,
1. Number of Fire Calls,2009,1603,1783,,
1. Number of Fire Calls,2010,1347,1868,,
1. Number of Fire Calls,2011,2127,1953,,
1. Number of Fire Calls,2012,2649,2039,,
1. Number of Fire Calls,2013,2624,2124,,
1. Number of Fire Calls,2014,2256,2209,,
1. Number of Fire Calls,2015,2486,2294,,
1. Number of Fire Calls,2016,3068,2380,,
1. Number of Fire Calls,2017,2830,2465,,
1. Number of Fire Calls,2018,2846,2550,,
1. Number of Fire Calls,2019,3134,2635,,
1. Number of Fire Calls,2020,2317,2720,,
1. Number of Fire Calls,2021,1696,2806,,
1. Number of Fire Calls,2022,2175,2891,,
1. Number of Fire Calls,2023,4108,2976,,
1. Number of Fire Calls,2024,2524,3061,,
1. Number of Fire Calls,2025,2889,3147,,
2. Number of Non-Fire Emergencies,2003,1199,1277,,
2. Number of Non-Fire Emergencies,2004,1500,1476,,
2. Number of Non-Fire Emergencies,2005,1692,1674,,
2. Number of Non-Fire Emergencies,2006,1531,1872,,
2. Number of Non-Fire Emergencies,2007,1850,2070,,
2. Number of Non-Fire Emergencies,2008,2154,2269,,
2. Number of Non-Fire Emergencies,2009,2477,2467,,
2. Number of Non-Fire Emergencies,2010,2474,2665,,
2. Number of Non-Fire Emergencies,2011,2760,2864,,
2. Number of Non-Fire Emergencies,2012,2880,3062,,
2. Number of Non-Fire Emergencies,2013,3717,3260,,
2. Number of Non-Fire Emergencies,2014,4413,3459,,
2. Number of Non-Fire Emergencies,2015,3732,3657,,
2. Number of Non-Fire Emergencies,2016,3585,3855,,
2. Number of Non-Fire Emergencies,2017,4470,4053,,
2. Number of Non-Fire Emergencies,2018,4701,4252,,
2. Number of Non-Fire Emergencies,2019,5714,4450,,
2. Number of Non-Fire Emergencies,2020,3839,4648,,
2. Number of Non-Fire Emergencies,2021,4488,4847,,
2. Number of Non-Fire Emergencies,2022,3865,5045,,
2. Number of Non-Fire Emergencies,2023,4968,5243,,
2. Number of Non-Fire Emergencies,2024,6424,5441,,
2. Number of Non-Fire Emergencies,2025,5113,5640,,
3(a). Number of Human Lives Lost due to Fire,2003,12,3,,
3(a). Number of Human Lives Lost due to Fire,2004,1,3,,
3(a). Number of Human Lives Lost due to Fire,2005,8,3,,
3(a). Number of Human Lives Lost due to Fire,2006,5,4,,
3(a). Number of Human Lives Lost due to Fire,2007,4,4,,
3(a). Number of Human Lives Lost due to Fire,2008,6,4,,
3(a). Number of Human Lives Lost due to Fire,2009,0,4,,
3(a). Number of Human Lives Lost due to Fire,2010,3,4,,
3(a). Number of Human Lives Lost due to Fire,2011,3,4,,
3(a). Number of Human Lives Lost due to Fire,2012,3,4,,
3(a). Number of Human Lives Lost due to Fire,2013,1,4,,
3(a). Number of Human Lives Lost due to Fire,2014,3,4,,
3(a). Number of Human Lives Lost due to Fire,2015,3,4,,
3(a). Number of Human Lives Lost due to Fire,2016,2,5,,
3(a). Number of Human Lives Lost due to Fire,2017,4,5,,
3(a). Number of Human Lives Lost due to Fire,2018,0,5,,
3(a). Number of Human Lives Lost due to Fire,2019,0,5,,
3(a). Number of Human Lives Lost due to Fire,2020,0,5,,
3(a). Number of Human Lives Lost due to Fire,2021,1,5,,
3(a). Number of Human Lives Lost due to Fire,2022,4,5,,
3(a). Number of Human Lives Lost due to Fire,2023,8,5,,
3(a). Number of Human Lives Lost due to Fire,2024,1,5,,
3(a). Number of Human Lives Lost due to Fire,2025,28,5,,
3(b). Number of Animal Lives Lost due to Fire,2003,5,20,,16
3(b). Number of Animal Lives Lost due to Fire,2004,82,20,,15.5513834
3(b). Number of Animal Lives Lost due to Fire,2005,4,19,,14.61363636
3(b). Number of Animal Lives Lost due to Fire,2006,7,18,,13.67588933
3(b). Number of Animal Lives Lost due to Fire,2007,1,17,,12.73814229
3(b). Number of Animal Lives Lost due to Fire,2008,1,16,,11.80039526
3(b). Number of Animal Lives Lost due to Fire,2009,0,15,,10.86264822
3(b). Number of Animal Lives Lost due to Fire,2010,6,14,,9.924901186
3(b). Number of Animal Lives Lost due to Fire,2011,10,13,,8.98715415
3(b). Number of Animal Lives Lost due to Fire,2012,1,12,,8.049407115
3(b). Number of Animal Lives Lost due to Fire,2013,2,11,,7.111660079
3(b). Number of Animal Lives Lost due to Fire,2014,0,10,,6.173913043
3(b). Number of Animal Lives Lost due to Fire,2015,10,9,,5.236166008
